     pboot
  0.001909   0.002890   0.002853
  0.001909   0.002891   0.002857
  0.001923   0.002911   0.002874
  0.001907   0.002891   0.002860
  0.001884   0.002861   0.002839
  0.001928   0.002916   0.002874
  0.001906   0.002889   0.002860
  0.001919   0.002903   0.002864
  0.001915   0.002898   0.002862
  0.001902   0.002883   0.002853
  0.001917   0.002901   0.002864
  0.001921   0.002909   0.002874
  0.001952   0.002944   0.002891
  0.001934   0.002925   0.002883
  0.001956   0.002949   0.002894
  0.001928   0.002916   0.002875
  0.001932   0.002921   0.002880
  0.001921   0.002906   0.002868
  0.001940   0.002928   0.002878
  0.001885   0.002863   0.002840
  0.001905   0.002888   0.002858
  0.001857   0.002828   0.002817
  0.001929   0.002917   0.002877
  0.001870   0.002842   0.002824
  0.001880   0.002857   0.002839
  0.001934   0.002923   0.002881
  0.001885   0.002860   0.002835
  0.001852   0.002822   0.002815
  0.001940   0.002929   0.002882
  0.001971   0.002970   0.002911
  0.001931   0.002919   0.002878
  0.001901   0.002883   0.002854
  0.001881   0.002856   0.002834
  0.001914   0.002897   0.002859
  0.001910   0.002895   0.002863
  0.001901   0.002881   0.002851
  0.001948   0.002940   0.002889
  0.001926   0.002912   0.002871
  0.001916   0.002898   0.002859
  0.001886   0.002863   0.002837
  0.001915   0.002898   0.002859
  0.001914   0.002901   0.002869
  0.001935   0.002925   0.002883
  0.001865   0.002837   0.002822
  0.001925   0.002911   0.002872
  0.001901   0.002881   0.002850
  0.001966   0.002963   0.002906
  0.001947   0.002940   0.002891
  0.001904   0.002885   0.002854
  0.001926   0.002914   0.002873
  0.001908   0.002889   0.002855
  0.001896   0.002876   0.002850
  0.001929   0.002917   0.002877
  0.001881   0.002857   0.002835
  0.001929   0.002917   0.002875
  0.001936   0.002923   0.002875
  0.001904   0.002886   0.002856
  0.001907   0.002886   0.002849
  0.001887   0.002866   0.002845
  0.001929   0.002916   0.002873
  0.001860   0.002829   0.002814
  0.001905   0.002886   0.002852
  0.001966   0.002962   0.002904
  0.001939   0.002931   0.002888
  0.001879   0.002853   0.002831
  0.001953   0.002945   0.002892
  0.001927   0.002913   0.002871
  0.001915   0.002898   0.002859
  0.001921   0.002905   0.002865
  0.001906   0.002888   0.002858
  0.001896   0.002874   0.002843
  0.001919   0.002906   0.002870
  0.001897   0.002876   0.002847
  0.001976   0.002976   0.002916
  0.001878   0.002853   0.002831
  0.001881   0.002858   0.002838
  0.001939   0.002929   0.002882
  0.001892   0.002870   0.002843
  0.001907   0.002889   0.002857
  0.001901   0.002881   0.002850
  0.001934   0.002922   0.002879
  0.001935   0.002923   0.002876
  0.001903   0.002883   0.002850
  0.001929   0.002918   0.002877
  0.001855   0.002825   0.002816
  0.001928   0.002913   0.002868
  0.001938   0.002924   0.002874
  0.001868   0.002844   0.002832
  0.001918   0.002901   0.002861
  0.001928   0.002916   0.002875
  0.001924   0.002910   0.002870
  0.001877   0.002851   0.002830
  0.001985   0.002984   0.002916
  0.001932   0.002921   0.002878
  0.001927   0.002914   0.002873
  0.001930   0.002917   0.002874
  0.001860   0.002833   0.002822
  0.001894   0.002873   0.002847
  0.001953   0.002946   0.002892
  0.001940   0.002932   0.002886
  0.002668   0.003594   0.003159
  0.002668   0.003597   0.003164
  0.002687   0.003620   0.003182
  0.002666   0.003597   0.003168
  0.002635   0.003562   0.003146
  0.002693   0.003625   0.003181
  0.002664   0.003595   0.003168
  0.002681   0.003610   0.003171
  0.002675   0.003605   0.003169
  0.002659   0.003588   0.003161
  0.002678   0.003608   0.003171
  0.002685   0.003619   0.003182
  0.002724   0.003658   0.003197
  0.002702   0.003636   0.003191
  0.002729   0.003663   0.003201
  0.002693   0.003626   0.003182
  0.002698   0.003632   0.003187
  0.002683   0.003614   0.003175
  0.002709   0.003639   0.003184
  0.002637   0.003565   0.003149
  0.002663   0.003593   0.003166
  0.002600   0.003524   0.003125
  0.002694   0.003628   0.003185
  0.002616   0.003540   0.003131
  0.002630   0.003559   0.003148
  0.002700   0.003634   0.003188
  0.002636   0.003561   0.003142
  0.002593   0.003518   0.003124
  0.002708   0.003641   0.003188
  0.002750   0.003688   0.003218
  0.002697   0.003630   0.003186
  0.002657   0.003588   0.003163
  0.002630   0.003556   0.003142
  0.002674   0.003603   0.003166
  0.002670   0.003602   0.003171
  0.002657   0.003585   0.003158
  0.002719   0.003653   0.003195
  0.002690   0.003621   0.003177
  0.002676   0.003604   0.003165
  0.002638   0.003563   0.003144
  0.002676   0.003604   0.003165
  0.002676   0.003609   0.003178
  0.002702   0.003637   0.003192
  0.002610   0.003534   0.003130
  0.002689   0.003620   0.003179
  0.002658   0.003585   0.003157
  0.002743   0.003680   0.003213
  0.002718   0.003653   0.003198
  0.002661   0.003590   0.003161
  0.002691   0.003623   0.003181
  0.002666   0.003595   0.003162
  0.002651   0.003580   0.003158
  0.002695   0.003628   0.003184
  0.002632   0.003558   0.003143
  0.002694   0.003627   0.003183
  0.002703   0.003633   0.003181
  0.002661   0.003591   0.003164
  0.002665   0.003590   0.003155
  0.002640   0.003569   0.003154
  0.002695   0.003625   0.003179
  0.002604   0.003525   0.003121
  0.002662   0.003590   0.003159
  0.002742   0.003679   0.003211
  0.002708   0.003644   0.003196
  0.002628   0.003552   0.003138
  0.002726   0.003659   0.003198
  0.002692   0.003622   0.003177
  0.002675   0.003603   0.003165
  0.002683   0.003613   0.003172
  0.002664   0.003594   0.003166
  0.002650   0.003576   0.003149
  0.002682   0.003615   0.003178
  0.002651   0.003579   0.003154
  0.002756   0.003695   0.003223
