rt	fw	dw
13.2	0.7873	0.4283
15.3	1.3062	0.7624
21.2	3.1738	1.5971
9.2	0.2711	0.1177
12.8	0.6744	0.3414
13.4	0.677	0.3573
5.8	0.076	0.0347
8.9	0.1997	0.0983
5.7	0.084	0.0332
5.3	0.0662	0.0239
9	0.2396	0.1269
21.1	3.3332	1.6016
21.2	3.488	1.7628
18.8	2.6989	1.3098
8	0.1746	0.0739
7.3	0.1517	0.0662
23.2	4.3398	2.1432
21.1	3.4766	1.7912
14.2	0.9302	0.3712
7.4	0.1421	0.0611
6	0.0877	0.0361
11.9	0.4579	0.1945
10.1	0.2934	0.1391
7.1	0.0755	0.0383
5.2	0.0382	0.0199
9.1	0.2348	0.1131
10.6	0.3849	0.1699
22.9	3.688	1.8459
18.9	2.0632	1.0132
21.5	3.5068	1.5981
20.2	2.536	1.1653
10.5	0.4283	0.2437
16.6	1.3876	0.7884
20.7	2.581	1.3313
11.6	0.5954	0.2593
14	0.9101	0.5149
9.1	0.2844	0.1565
8.3	0.2262	0.1238
10.3	0.3779	0.2048
6.2	0.0747	0.0331
8.7	0.1958	0.0966
6.3	0.099	0.0385
7.9	0.1593	0.0791
13.7	0.7464	0.4306
12.1	0.4947	0.2923
8.9	0.2576	0.1399
17.3	1.619	0.968
22	3.2963	1.7913
19.8	2.538	1.2599
14.5	1.1077	0.6208
21.2	2.6618	1.322
20.8	2.4435	1.2605
15.5	1.2509	0.6579
18.3	2.092	1.0369
20.4	2.5928	1.3061
16.7	1.5153	0.7507
19.4	2.166	1.1189
19.4	1.922	1.0156
15.5	1.0345	0.5709
15.1	1.1866	0.6439
11.4	0.448	0.2429
12.5	0.5458	0.301
8.9	0.2406	0.1156
15.8	1.4041	0.6693
16.3	1.5274	0.7585
17.1	1.704	0.8221
16.3	1.5834	0.7637
15.9	1.2375	0.6412
17.5	1.7108	0.8522
21.8	3.3965	1.6301
18.2	1.7775	0.7991
12.7	0.7109	0.3062
9.9	0.3575	0.1678
9.9	0.3345	0.1685
8.8	0.2819	0.1407
13.8	0.8382	0.3779
13.5	0.7315	0.3387
18.8	2.2391	1.0289
12.6	0.6931	0.3708
21.7	3.4394	1.6446
19.1	2.0667	0.9915
10	0.4082	0.1424
13	0.7189	0.3672
11.9	0.4946	0.2662
15.7	1.2415	0.5914
15.4	1.1149	0.5781
15.6	1.1933	0.6251
15.3	1.1498	0.6153
17	1.4612	0.754
21.2	3.5655	1.4374
18.4	2.493	1.3154
19.7	2.2925	1.1333
19.3	2.267	1.0966
17.5	1.7	0.822
7.7	0.1887	0.0851
7.5	0.1486	0.0753
10.7	0.4051	0.1984
7.1	0.1419	0.0602
5.5	0.0571	0.0264
5	0.0422	0.0195
6.3	0.0721	0.0389
5.1	0.0546	0.0244
5.1	0.0347	0.0187
5.2	0.043	0.0223
5.7	0.0574	0.0281
7.9	0.1679	0.0831
9.6	0.2918	0.1484
19.8	2.6979	1.329
17.1	1.5462	0.7906
22.7	3.9298	1.8219
21.8	2.8148	1.2991
21	2.748	1.215
13.9	0.6689	0.3614
16	0.9844	0.497
9.3	0.268	0.1413
12.9	0.7122	0.3437
12.3	0.5391	0.3064
10	0.3266	0.1859
9.1	0.2085	0.1188
10.5	0.312	0.1802
10.5	0.3071	0.1666
8	0.1247	0.0695
6.9	0.098	0.059
5.7	0.0457	0.0265
5.4	0.0399	0.0165
12.8	0.5736	0.2083
17	1.442	0.7122
5.9	0.066	0.0316
15.6	1.2598	0.6733
8.2	0.1263	0.0497
5.6	0.0422	0.0192
5.1	0.0445	0.0194
5.4	0.0427	0.0179
5	0.034	0.016
19.1	1.6339	0.8133
20.8	2.2117	1.0722
20	2.065	1.0795
19.2	2.1264	1.0675
21.2	2.3327	1.1411
9.1	0.1262	0.0549
6.7	0.0606	0.0269
18.1	1.6048	0.8371
17.6	1.6839	0.8905
21.8	3.389	1.5717
18.3	1.8469	0.8733
9.3	0.2648	0.1122
11.4	0.4216	0.2213
12.7	0.8024	0.3377
9.1	0.2534	0.1262
13	0.67	0.3401
10.4	0.3819	0.1887
8.2	0.1721	0.0775
5.4	0.0424	0.0199
10.2	0.3983	0.1932
18.5	1.9055	0.9252
18.4	1.7375	0.7857
21	2.0204	0.9977
21.3	1.9096	0.938
20.3	1.9162	0.9946
16.2	1.175	0.5348
19	1.8014	0.8522
16.8	1.375	0.6877
13.4	0.7622	0.3594
17.8	1.7609	0.789
16.7	1.4594	0.6967
20.3	2.3444	1.1735
21.1	2.1651	1.0974
22.6	3.3977	1.5963
20.7	3.1758	1.3952
21.2	2.6474	1.1755
