F         RC        PS
         1       3.9     0.020
         2       3.9     0.020
         2       3.9     0.020
         2       3.9     0.020
         2       3.9     0.030
         2       3.9     0.040
         1       4.0     0.010
         1       4.0     0.010
         1       4.0     0.010
         2       4.0     0.010
         2       4.0     0.010
         1       4.0     0.010
         1       4.0     0.010
         1       4.0     0.010
         1       4.0     0.010
         2       4.0     0.010
         2       4.0     0.010
         2       4.0     0.010
         1       4.0     0.010
         1       4.0     0.010
         1       4.0     0.010
         1       4.0     0.010
         2       4.0     0.010
         2       4.0     0.010
         2       4.0     0.010
         1       4.0     0.020
         2       4.0     0.020
         2       4.0     0.020
         2       4.0     0.020
         2       4.0     0.020
         2       4.0     0.020
         2       4.0     0.020
         2       4.0     0.020
         1       4.0     0.020
         2       4.0     0.020
         1       4.0     0.020
         2       4.0     0.020
         2       4.0     0.020
         1       4.0     0.020
         2       4.0     0.020
         2       4.0     0.020
         2       4.0     0.020
         2       4.0     0.020
         1       4.0     0.020
         1       4.0     0.020
         2       4.0     0.020
         2       4.0     0.030
         1       4.0     0.030
         1       4.1     0.010
         2       4.1     0.010
         1       4.1     0.010
         2       4.1     0.010
         1       4.1     0.010
         1       4.1     0.010
         1       4.1     0.010
         2       4.1     0.010
         2       4.1     0.010
         1       4.1     0.020
         1       4.1     0.020
         1       4.1     0.020
         1       4.1     0.020
         2       4.1     0.020
         2       4.1     0.020
         1       4.1     0.020
         1       4.1     0.020
         1       4.1     0.020
         2       4.1     0.020
         2       4.1     0.020
         1       4.1     0.020
         1       4.1     0.020
         2       4.1     0.020
         2       4.1     0.020
         1       4.1     0.020
         1       4.1     0.020
         1       4.1     0.020
         2       4.1     0.030
         1       4.1     0.030
         1       4.2     0.010
         1       4.2     0.010
         1       4.2     0.010
         2       4.2     0.010
         1       4.2     0.010
         2       4.2     0.010
         1       4.2     0.010
         2       4.2     0.010
         1       4.2     0.010
         1       4.2     0.020
         1       4.2     0.020
         2       4.2     0.020
         2       4.2     0.020
         2       4.2     0.020
         2       4.2     0.020
         2       4.2     0.020
         2       4.2     0.020
         1       4.2     0.020
         2       4.2     0.020
         2       4.2     0.020
         2       4.2     0.020
         1       4.2     0.020
         1       4.2     0.020
         1       4.2     0.020
         1       4.2     0.020
         2       4.2     0.020
         2       4.2     0.020
         2       4.2     0.020
         2       4.2     0.020
         1       4.2     0.020
         1       4.2     0.020
         1       4.2     0.020
         1       4.2     0.020
         1       4.2     0.020
         2       4.2     0.020
         2       4.2     0.020
         2       4.2     0.020
         2       4.2     0.020
         1       4.2     0.020
         2       4.2     0.020
         2       4.2     0.020
         1       4.2     0.030
         1       4.2     0.030
         2       4.2     0.030
         2       4.2     0.030
         1       4.2     0.040
         2       4.2     0.050
         1       4.3     0.010
         2       4.3     0.010
         2       4.3     0.010
         1       4.3     0.010
         1       4.3     0.010
         1       4.3     0.010
         1       4.3     0.010
         1       4.3     0.010
         1       4.3     0.020
         1       4.3     0.020
         2       4.3     0.020
         2       4.3     0.020
         2       4.3     0.020
         2       4.3     0.020
         2       4.3     0.020
         2       4.3     0.020
         2       4.3     0.020
         1       4.3     0.020
         1       4.3     0.020
         1       4.3     0.020
         1       4.3     0.020
         1       4.3     0.020
         1       4.3     0.020
         2       4.3     0.020
         2       4.3     0.020
         1       4.3     0.020
         1       4.3     0.020
         1       4.3     0.020
         1       4.3     0.020
         1       4.3     0.020
         2       4.3     0.020
         2       4.3     0.020
         1       4.3     0.020
         1       4.3     0.020
         1       4.3     0.020
         1       4.3     0.020
         1       4.3     0.020
         1       4.3     0.020
         1       4.3     0.030
         2       4.3     0.030
         2       4.3     0.030
         2       4.3     0.030
         2       4.3     0.030
         2       4.3     0.030
         1       4.3     0.030
         2       4.3     0.040
         2       4.3     0.040
         2       4.4     0.010
         1       4.4     0.010
         1       4.4     0.010
         1       4.4     0.020
         1       4.4     0.020
         1       4.4     0.020
         1       4.4     0.020
         1       4.4     0.020
         1       4.4     0.020
         1       4.4     0.020
         1       4.4     0.020
         2       4.4     0.020
         2       4.4     0.020
         2       4.4     0.020
         2       4.4     0.020
         2       4.4     0.020
         2       4.4     0.020
         1       4.4     0.020
         1       4.4     0.020
         2       4.4     0.020
         2       4.4     0.020
         2       4.4     0.020
         2       4.4     0.020
         1       4.4     0.020
         1       4.4     0.020
         1       4.4     0.020
         1       4.4     0.020
         1       4.4     0.020
         1       4.4     0.020
         2       4.4     0.020
         2       4.4     0.020
         1       4.4     0.020
         1       4.4     0.020
         1       4.4     0.020
         1       4.4     0.020
         1       4.4     0.020
         1       4.4     0.020
         2       4.4     0.020
         1       4.4     0.020
         1       4.4     0.020
         2       4.4     0.020
         1       4.4     0.030
         1       4.4     0.030
         2       4.4     0.030
         1       4.4     0.030
         1       4.4     0.030
         2       4.4     0.030
         2       4.4     0.030
         2       4.4     0.030
         1       4.4     0.030
         2       4.4     0.030
         2       4.4     0.030
         1       4.5     0.010
         2       4.5     0.010
         1       4.5     0.010
         1       4.5     0.020
         1       4.5     0.020
         1       4.5     0.020
         1       4.5     0.020
         2       4.5     0.020
         2       4.5     0.020
         2       4.5     0.020
         2       4.5     0.020
         2       4.5     0.020
         2       4.5     0.020
         2       4.5     0.020
         1       4.5     0.020
         1       4.5     0.020
         1       4.5     0.020
         1       4.5     0.020
         1       4.5     0.020
         1       4.5     0.020
         1       4.5     0.020
         1       4.5     0.020
         2       4.5     0.020
         2       4.5     0.020
         2       4.5     0.020
         2       4.5     0.020
         1       4.5     0.020
         1       4.5     0.020
         1       4.5     0.020
         1       4.5     0.020
         1       4.5     0.020
         1       4.5     0.020
         1       4.5     0.020
         1       4.5     0.020
         2       4.5     0.020
         2       4.5     0.020
         2       4.5     0.020
         2       4.5     0.020
         2       4.5     0.020
         1       4.5     0.020
         1       4.5     0.020
         1       4.5     0.020
         1       4.5     0.020
         2       4.5     0.020
         2       4.5     0.020
         2       4.5     0.020
         2       4.5     0.020
         2       4.5     0.020
         1       4.5     0.020
         1       4.5     0.030
         1       4.5     0.030
         1       4.5     0.030
         1       4.5     0.030
         2       4.5     0.030
         1       4.5     0.030
         2       4.5     0.030
         2       4.5     0.030
         2       4.5     0.030
         1       4.5     0.030
         1       4.5     0.030
         1       4.5     0.030
         1       4.5     0.030
         2       4.5     0.030
         2       4.5     0.030
         1       4.5     0.040
         1       4.5     0.040
         1       4.5     0.040
         2       4.6     0.010
         1       4.6     0.020
         1       4.6     0.020
         1       4.6     0.020
         1       4.6     0.020
         2       4.6     0.020
         2       4.6     0.020
         2       4.6     0.020
         2       4.6     0.020
         1       4.6     0.020
         1       4.6     0.020
         1       4.6     0.020
         1       4.6     0.020
         1       4.6     0.020
         2       4.6     0.020
         2       4.6     0.020
         2       4.6     0.020
         1       4.6     0.020
         1       4.6     0.020
         2       4.6     0.020
         2       4.6     0.020
         2       4.6     0.020
         1       4.6     0.020
         1       4.6     0.020
         1       4.6     0.020
         1       4.6     0.020
         1       4.6     0.020
         1       4.6     0.020
         1       4.6     0.020
         2       4.6     0.020
         2       4.6     0.020
         2       4.6     0.020
         2       4.6     0.020
         2       4.6     0.020
         2       4.6     0.020
         2       4.6     0.020
         1       4.6     0.020
         2       4.6     0.020
         1       4.6     0.030
         2       4.6     0.030
         2       4.6     0.030
         2       4.6     0.030
         1       4.6     0.030
         1       4.6     0.030
         1       4.6     0.030
