F         RC        PS
         2       7.6     0.130
         1       7.6     0.130
         2       7.6     0.140
         2       7.6     0.160
         1       7.6     0.170
         2       7.6     0.170
         2       7.6     0.190
         1       7.7     0.070
         2       7.7     0.070
         1       7.7     0.080
         1       7.7     0.080
         1       7.7     0.080
         1       7.7     0.080
         1       7.7     0.080
         1       7.7     0.080
         1       7.7     0.080
         1       7.7     0.080
         2       7.7     0.080
         2       7.7     0.080
         2       7.7     0.080
         1       7.7     0.090
         2       7.7     0.090
         2       7.7     0.090
         2       7.7     0.090
         2       7.7     0.090
         1       7.7     0.090
         1       7.7     0.090
         1       7.7     0.090
         1       7.7     0.090
         1       7.7     0.090
         1       7.7     0.090
         1       7.7     0.090
         1       7.7     0.090
         2       7.7     0.090
         2       7.7     0.090
         2       7.7     0.090
         1       7.7     0.090
         1       7.7     0.090
         1       7.7     0.090
         1       7.7     0.090
         2       7.7     0.090
         2       7.7     0.090
         2       7.7     0.090
         2       7.7     0.090
         1       7.7     0.100
         1       7.7     0.100
         2       7.7     0.100
         2       7.7     0.100
         1       7.7     0.100
         1       7.7     0.100
         1       7.7     0.100
         2       7.7     0.100
         2       7.7     0.100
         2       7.7     0.100
         2       7.7     0.100
         1       7.7     0.100
         1       7.7     0.100
         2       7.7     0.100
         2       7.7     0.100
         2       7.7     0.100
         1       7.7     0.100
         1       7.7     0.100
         2       7.7     0.100
         2       7.7     0.100
         2       7.7     0.100
         2       7.7     0.100
         1       7.7     0.100
         2       7.7     0.100
         2       7.7     0.100
         2       7.7     0.100
         2       7.7     0.100
         1       7.7     0.110
         1       7.7     0.110
         2       7.7     0.110
         2       7.7     0.110
         2       7.7     0.110
         1       7.7     0.110
         2       7.7     0.110
         2       7.7     0.110
         2       7.7     0.110
         1       7.7     0.110
         1       7.7     0.110
         1       7.7     0.110
         1       7.7     0.110
         1       7.7     0.110
         1       7.7     0.110
         2       7.7     0.110
         2       7.7     0.110
         1       7.7     0.110
         1       7.7     0.110
         2       7.7     0.110
         2       7.7     0.110
         2       7.7     0.110
         2       7.7     0.110
         1       7.7     0.120
         2       7.7     0.120
         1       7.7     0.120
         2       7.7     0.120
         1       7.7     0.120
         1       7.7     0.120
         2       7.7     0.120
         1       7.7     0.120
         2       7.7     0.120
         2       7.7     0.120
         1       7.7     0.120
         1       7.7     0.120
         1       7.7     0.130
         1       7.7     0.130
         2       7.7     0.130
         2       7.7     0.130
         1       7.7     0.130
         2       7.7     0.130
         1       7.7     0.130
         2       7.7     0.130
         2       7.7     0.130
         2       7.7     0.130
         2       7.7     0.130
         1       7.7     0.140
         1       7.7     0.140
         1       7.7     0.140
         2       7.7     0.140
         2       7.7     0.150
         1       7.7     0.150
         1       7.7     0.150
         1       7.7     0.170
         1       7.7     0.180
         1       7.8     0.060
         1       7.8     0.060
         1       7.8     0.070
         1       7.8     0.070
         1       7.8     0.070
         1       7.8     0.080
         1       7.8     0.080
         1       7.8     0.080
         1       7.8     0.080
         1       7.8     0.080
         1       7.8     0.080
         2       7.8     0.080
         1       7.8     0.090
         2       7.8     0.090
         1       7.8     0.090
         2       7.8     0.090
         1       7.8     0.090
         2       7.8     0.090
         1       7.8     0.090
         1       7.8     0.090
         1       7.8     0.090
         2       7.8     0.090
         2       7.8     0.090
         1       7.8     0.090
         1       7.8     0.090
         1       7.8     0.090
         1       7.8     0.100
         2       7.8     0.100
         1       7.8     0.100
         1       7.8     0.100
         1       7.8     0.100
         2       7.8     0.100
         2       7.8     0.100
         1       7.8     0.100
         1       7.8     0.100
         1       7.8     0.100
         1       7.8     0.100
         2       7.8     0.100
         2       7.8     0.100
         2       7.8     0.100
         1       7.8     0.100
         1       7.8     0.100
         1       7.8     0.100
         1       7.8     0.100
         2       7.8     0.100
         1       7.8     0.100
         2       7.8     0.100
         1       7.8     0.110
         1       7.8     0.110
         2       7.8     0.110
         2       7.8     0.110
         2       7.8     0.110
         2       7.8     0.110
         1       7.8     0.110
         1       7.8     0.110
         2       7.8     0.110
         2       7.8     0.110
         1       7.8     0.110
         1       7.8     0.110
         1       7.8     0.110
         2       7.8     0.110
         2       7.8     0.110
         2       7.8     0.110
         2       7.8     0.110
         2       7.8     0.110
         2       7.8     0.110
         1       7.8     0.110
         2       7.8     0.110
         1       7.8     0.110
         1       7.8     0.110
         2       7.8     0.110
         2       7.8     0.110
         2       7.8     0.110
         2       7.8     0.110
         2       7.8     0.110
         1       7.8     0.120
         2       7.8     0.120
         2       7.8     0.120
         2       7.8     0.120
         2       7.8     0.120
         2       7.8     0.120
         1       7.8     0.120
         1       7.8     0.120
         2       7.8     0.120
         2       7.8     0.120
         2       7.8     0.120
         1       7.8     0.120
         2       7.8     0.120
         1       7.8     0.120
         1       7.8     0.120
         1       7.8     0.120
         2       7.8     0.120
         2       7.8     0.120
         2       7.8     0.120
         2       7.8     0.120
         2       7.8     0.130
         2       7.8     0.130
         1       7.8     0.130
         1       7.8     0.130
         1       7.8     0.130
         2       7.8     0.130
         2       7.8     0.130
         2       7.8     0.130
         1       7.8     0.130
         1       7.8     0.130
         2       7.8     0.140
         1       7.8     0.140
         2       7.8     0.140
         2       7.8     0.140
         1       7.8     0.150
         1       7.8     0.150
         2       7.8     0.150
         1       7.8     0.160
         2       7.8     0.170
         1       7.9     0.060
         1       7.9     0.070
         1       7.9     0.070
         1       7.9     0.070
         1       7.9     0.070
         2       7.9     0.080
         2       7.9     0.080
         1       7.9     0.080
         1       7.9     0.080
         1       7.9     0.090
         1       7.9     0.090
         1       7.9     0.090
         1       7.9     0.090
         1       7.9     0.090
         1       7.9     0.090
         2       7.9     0.090
         2       7.9     0.090
         2       7.9     0.090
         1       7.9     0.090
         1       7.9     0.100
         1       7.9     0.100
         1       7.9     0.100
         2       7.9     0.100
         2       7.9     0.100
         1       7.9     0.100
         1       7.9     0.100
         1       7.9     0.100
         1       7.9     0.100
         2       7.9     0.100
         2       7.9     0.100
         1       7.9     0.100
         2       7.9     0.100
         1       7.9     0.100
         2       7.9     0.100
         1       7.9     0.110
         1       7.9     0.110
         1       7.9     0.110
         2       7.9     0.110
         2       7.9     0.110
         1       7.9     0.110
         1       7.9     0.110
         2       7.9     0.110
         2       7.9     0.110
         2       7.9     0.110
         2       7.9     0.110
         1       7.9     0.110
         2       7.9     0.110
         1       7.9     0.110
         1       7.9     0.110
         1       7.9     0.110
         1       7.9     0.110
         2       7.9     0.110
         2       7.9     0.110
         1       7.9     0.120
         1       7.9     0.120
         2       7.9     0.120
         2       7.9     0.120
         2       7.9     0.120
         1       7.9     0.120
         2       7.9     0.120
         1       7.9     0.120
         2       7.9     0.120
         1       7.9     0.120
         2       7.9     0.120
         2       7.9     0.120
         2       7.9     0.120
         2       7.9     0.120
         1       7.9     0.120
         2       7.9     0.120
         1       7.9     0.130
         1       7.9     0.130
         2       7.9     0.130
         1       7.9     0.130
         1       7.9     0.130
         1       7.9     0.130
         2       7.9     0.130
         2       7.9     0.130
         2       7.9     0.130
         1       7.9     0.130
         1       7.9     0.130
         2       7.9     0.130
         2       7.9     0.130
         1       7.9     0.140
         2       7.9     0.140
         1       7.9     0.140
         1       7.9     0.140
         1       7.9     0.140
         2       7.9     0.140
         1       7.9     0.140
         2       7.9     0.150
         1       7.9     0.150
         1       7.9     0.150
         1       7.9     0.150
         1       7.9     0.160
         2       7.9     0.160
         1       7.9     0.160
         1       7.9     0.160
         1       7.9     0.170
         1       7.9     0.170
         2       7.9     0.170
         1       7.9     0.180
         1       7.9     0.180
         1       8.0     0.080
         2       8.0     0.080
         1       8.0     0.080
         1       8.0     0.080
         1       8.0     0.090
         1       8.0     0.090
         2       8.0     0.090
         1       8.0     0.100
         1       8.0     0.100
         2       8.0     0.100
         2       8.0     0.100
         2       8.0     0.100
         1       8.0     0.100
         2       8.0     0.100
         2       8.0     0.100
         2       8.0     0.100
         1       8.0     0.110
         1       8.0     0.110
         2       8.0     0.110
         2       8.0     0.110
         2       8.0     0.110
         1       8.0     0.110
         1       8.0     0.110
         1       8.0     0.110
         1       8.0     0.110
         1       8.0     0.110
         2       8.0     0.110
         2       8.0     0.110
         2       8.0     0.110
         1       8.0     0.110
         1       8.0     0.110
         1       8.0     0.110
         2       8.0     0.110
         2       8.0     0.110
         2       8.0     0.110
         2       8.0     0.110
         2       8.0     0.110
         1       8.0     0.110
         2       8.0     0.110
         1       8.0     0.120
         1       8.0     0.120
         1       8.0     0.120
         2       8.0     0.120
         2       8.0     0.120
         2       8.0     0.120
         2       8.0     0.120
         1       8.0     0.120
         2       8.0     0.120
         2       8.0     0.120
         1       8.0     0.120
         2       8.0     0.120
         2       8.0     0.120
         2       8.0     0.120
         1       8.0     0.120
         1       8.0     0.120
         1       8.0     0.120
         2       8.0     0.120
         2       8.0     0.120
         2       8.0     0.120
         2       8.0     0.120
         1       8.0     0.130
         1       8.0     0.130
         2       8.0     0.130
         2       8.0     0.130
         2       8.0     0.130
         2       8.0     0.130
         2       8.0     0.130
         1       8.0     0.130
         1       8.0     0.130
         1       8.0     0.130
         2       8.0     0.130
         2       8.0     0.130
         2       8.0     0.130
         1       8.0     0.130
         1       8.0     0.130
         1       8.0     0.130
         1       8.0     0.130
         2       8.0     0.130
         2       8.0     0.130
         1       8.0     0.140
         2       8.0     0.140
         2       8.0     0.140
         2       8.0     0.140
         2       8.0     0.140
         1       8.0     0.140
         2       8.0     0.140
         1       8.0     0.140
         2       8.0     0.140
         1       8.0     0.140
         1       8.0     0.140
         1       8.0     0.140
         2       8.0     0.140
         2       8.0     0.140
         2       8.0     0.150
         2       8.0     0.150
         2       8.0     0.150
         1       8.0     0.150
         1       8.0     0.150
         1       8.0     0.160
         1       8.0     0.160
         2       8.0     0.160
         2       8.0     0.170
         1       8.0     0.180
         1       8.0     0.180
         1       8.1     0.070
         2       8.1     0.080
         1       8.1     0.080
         1       8.1     0.090
         2       8.1     0.090
         1       8.1     0.090
         1       8.1     0.090
         1       8.1     0.090
         2       8.1     0.090
         1       8.1     0.090
         1       8.1     0.100
         2       8.1     0.100
         1       8.1     0.100
         2       8.1     0.100
         1       8.1     0.100
         1       8.1     0.100
         2       8.1     0.100
         2       8.1     0.100
         1       8.1     0.100
         1       8.1     0.100
         1       8.1     0.100
         1       8.1     0.100
         1       8.1     0.100
         1       8.1     0.100
         1       8.1     0.100
         1       8.1     0.100
         1       8.1     0.100
         2       8.1     0.100
         2       8.1     0.100
         2       8.1     0.100
         1       8.1     0.100
         2       8.1     0.100
         2       8.1     0.100
         2       8.1     0.100
         1       8.1     0.110
         1       8.1     0.110
         1       8.1     0.110
         1       8.1     0.110
         2       8.1     0.110
         2       8.1     0.110
         1       8.1     0.110
         1       8.1     0.110
         2       8.1     0.110
         2       8.1     0.110
         2       8.1     0.110
         1       8.1     0.110
         2       8.1     0.110
         2       8.1     0.110
         2       8.1     0.110
         1       8.1     0.110
         1       8.1     0.110
         1       8.1     0.110
         1       8.1     0.110
         2       8.1     0.110
         1       8.1     0.110
         1       8.1     0.110
         1       8.1     0.110
         2       8.1     0.110
         1       8.1     0.120
         1       8.1     0.120
         1       8.1     0.120
         1       8.1     0.120
         2       8.1     0.120
         1       8.1     0.120
         1       8.1     0.120
         1       8.1     0.120
         2       8.1     0.120
         2       8.1     0.120
         2       8.1     0.120
         1       8.1     0.120
         2       8.1     0.120
         2       8.1     0.120
         2       8.1     0.120
         2       8.1     0.120
         1       8.1     0.120
         1       8.1     0.120
         1       8.1     0.120
         2       8.1     0.120
         2       8.1     0.120
         1       8.1     0.120
         1       8.1     0.120
         2       8.1     0.120
         2       8.1     0.120
         1       8.1     0.130
         1       8.1     0.130
         1       8.1     0.130
         2       8.1     0.130
         2       8.1     0.130
         1       8.1     0.130
         2       8.1     0.130
         2       8.1     0.130
         1       8.1     0.130
         1       8.1     0.130
         1       8.1     0.130
         2       8.1     0.130
         1       8.1     0.130
         1       8.1     0.130
         2       8.1     0.130
         1       8.1     0.130
         1       8.1     0.130
         1       8.1     0.130
         1       8.1     0.130
         2       8.1     0.130
         2       8.1     0.130
         2       8.1     0.140
         1       8.1     0.140
         1       8.1     0.140
         1       8.1     0.140
         2       8.1     0.140
         2       8.1     0.140
         1       8.1     0.140
         1       8.1     0.140
         1       8.1     0.140
         1       8.1     0.150
         2       8.1     0.150
         1       8.1     0.150
         2       8.1     0.150
         2       8.1     0.150
         1       8.1     0.150
         1       8.1     0.150
         2       8.1     0.150
         2       8.1     0.150
         2       8.1     0.150
         2       8.1     0.150
         2       8.1     0.150
         2       8.1     0.150
         2       8.1     0.150
         1       8.1     0.160
         1       8.1     0.160
         1       8.1     0.160
         2       8.1     0.160
         1       8.1     0.160
         2       8.1     0.160
         1       8.1     0.170
         2       8.1     0.170
         1       8.1     0.180
         2       8.1     0.180
         2       8.1     0.190
         2       8.1     0.200
         2       8.2     0.030
         1       8.2     0.070
         1       8.2     0.090
         1       8.2     0.090
         1       8.2     0.090
         1       8.2     0.090
         1       8.2     0.090
         2       8.2     0.090
         2       8.2     0.090
         2       8.2     0.100
         2       8.2     0.100
         1       8.2     0.100
         2       8.2     0.100
         1       8.2     0.100
         1       8.2     0.100
         2       8.2     0.100
         2       8.2     0.100
         1       8.2     0.110
         1       8.2     0.110
         1       8.2     0.110
         1       8.2     0.110
         1       8.2     0.110
         1       8.2     0.110
         1       8.2     0.110
         1       8.2     0.110
         2       8.2     0.110
         2       8.2     0.110
         2       8.2     0.110
         1       8.2     0.110
         2       8.2     0.110
         2       8.2     0.110
         2       8.2     0.110
         1       8.2     0.110
         2       8.2     0.110
         1       8.2     0.120
         1       8.2     0.120
         1       8.2     0.120
         2       8.2     0.120
         1       8.2     0.120
         2       8.2     0.120
         1       8.2     0.120
         1       8.2     0.120
         1       8.2     0.120
         1       8.2     0.120
         1       8.2     0.120
         1       8.2     0.120
         2       8.2     0.120
         2       8.2     0.120
         1       8.2     0.120
         1       8.2     0.120
         1       8.2     0.120
         1       8.2     0.120
         2       8.2     0.120
         2       8.2     0.120
         1       8.2     0.130
         1       8.2     0.130
         1       8.2     0.130
         2       8.2     0.130
         2       8.2     0.130
         2       8.2     0.130
         1       8.2     0.130
         2       8.2     0.130
         2       8.2     0.130
         2       8.2     0.130
         1       8.2     0.130
         2       8.2     0.130
         2       8.2     0.130
         1       8.2     0.130
         1       8.2     0.130
         1       8.2     0.130
         2       8.2     0.130
         2       8.2     0.130
         2       8.2     0.130
         1       8.2     0.140
         1       8.2     0.140
         1       8.2     0.140
         1       8.2     0.140
         1       8.2     0.140
         2       8.2     0.140
         2       8.2     0.140
         1       8.2     0.140
         1       8.2     0.140
         1       8.2     0.140
         2       8.2     0.140
         1       8.2     0.150
         2       8.2     0.150
         2       8.2     0.150
         1       8.2     0.150
         2       8.2     0.150
         2       8.2     0.150
         1       8.2     0.160
         2       8.2     0.160
         2       8.2     0.160
         1       8.2     0.160
         1       8.2     0.170
         2       8.2     0.170
         1       8.2     0.170
         1       8.2     0.180
         1       8.2     0.190
         1       8.2     0.190
         1       8.2     0.190
         2       8.2     0.200
         2       8.2     0.200
         1       8.3     0.080
         2       8.3     0.080
         1       8.3     0.090
         1       8.3     0.090
         2       8.3     0.090
         1       8.3     0.090
         2       8.3     0.100
         1       8.3     0.100
         1       8.3     0.100
         1       8.3     0.100
         1       8.3     0.100
         1       8.3     0.100
         2       8.3     0.100
         2       8.3     0.100
         2       8.3     0.100
         1       8.3     0.110
         2       8.3     0.110
         2       8.3     0.110
         2       8.3     0.110
         1       8.3     0.110
         2       8.3     0.110
         1       8.3     0.110
         1       8.3     0.110
         2       8.3     0.110
         2       8.3     0.110
         2       8.3     0.110
         2       8.3     0.110
         1       8.3     0.120
         1       8.3     0.120
         1       8.3     0.120
         1       8.3     0.120
         1       8.3     0.120
         2       8.3     0.120
         1       8.3     0.120
         1       8.3     0.120
         2       8.3     0.120
         1       8.3     0.120
         1       8.3     0.120
         2       8.3     0.120
         2       8.3     0.120
         2       8.3     0.120
         1       8.3     0.120
         1       8.3     0.120
         1       8.3     0.120
         2       8.3     0.120
         2       8.3     0.120
         1       8.3     0.120
         2       8.3     0.120
         2       8.3     0.120
         2       8.3     0.120
         2       8.3     0.120
         1       8.3     0.130
         2       8.3     0.130
         2       8.3     0.130
         1       8.3     0.130
         1       8.3     0.130
         1       8.3     0.130
         1       8.3     0.130
         1       8.3     0.130
         1       8.3     0.130
         1       8.3     0.130
         2       8.3     0.130
         2       8.3     0.130
         2       8.3     0.130
         2       8.3     0.130
         1       8.3     0.130
         1       8.3     0.140
         1       8.3     0.140
         1       8.3     0.140
         1       8.3     0.140
         1       8.3     0.140
         1       8.3     0.140
         1       8.3     0.140
         1       8.3     0.140
         2       8.3     0.140
         1       8.3     0.140
         1       8.3     0.140
         1       8.3     0.140
         2       8.3     0.140
         2       8.3     0.140
         1       8.3     0.140
         2       8.3     0.140
         2       8.3     0.140
         2       8.3     0.140
         2       8.3     0.140
         1       8.3     0.140
         1       8.3     0.140
         1       8.3     0.140
         1       8.3     0.140
         2       8.3     0.140
         2       8.3     0.140
         2       8.3     0.140
         2       8.3     0.140
         1       8.3     0.150
         2       8.3     0.150
         2       8.3     0.150
         2       8.3     0.150
         1       8.3     0.150
         2       8.3     0.150
         2       8.3     0.150
         2       8.3     0.150
         2       8.3     0.150
         2       8.3     0.150
         1       8.3     0.150
         1       8.3     0.150
         1       8.3     0.150
         2       8.3     0.160
         2       8.3     0.160
         1       8.3     0.160
         1       8.3     0.160
         2       8.3     0.160
         1       8.3     0.170
         2       8.3     0.170
         2       8.3     0.170
         2       8.3     0.170
         2       8.3     0.170
         2       8.3     0.180
         1       8.3     0.180
         2       8.3     0.190
         2       8.3     0.190
         2       8.3     0.190
         2       8.3     0.200
         1       8.3     0.210
         1       8.4     0.090
         1       8.4     0.100
         2       8.4     0.100
         2       8.4     0.100
         1       8.4     0.100
         1       8.4     0.100
         1       8.4     0.100
         2       8.4     0.100
         2       8.4     0.100
         1       8.4     0.110
         2       8.4     0.110
         1       8.4     0.110
         2       8.4     0.110
         1       8.4     0.110
         1       8.4     0.110
         1       8.4     0.110
         1       8.4     0.110
         1       8.4     0.110
         2       8.4     0.110
         2       8.4     0.110
         2       8.4     0.110
         2       8.4     0.110
         1       8.4     0.110
         2       8.4     0.110
         2       8.4     0.110
         1       8.4     0.120
         1       8.4     0.120
         2       8.4     0.120
         2       8.4     0.120
         2       8.4     0.120
         1       8.4     0.120
         2       8.4     0.120
         1       8.4     0.120
         1       8.4     0.120
         2       8.4     0.120
         2       8.4     0.120
         1       8.4     0.120
         2       8.4     0.120
         2       8.4     0.120
         2       8.4     0.120
         2       8.4     0.120
         2       8.4     0.120
         2       8.4     0.120
         1       8.4     0.120
         2       8.4     0.120
         1       8.4     0.130
         1       8.4     0.130
         1       8.4     0.130
         2       8.4     0.130
         2       8.4     0.130
         1       8.4     0.130
         1       8.4     0.130
         1       8.4     0.130
         1       8.4     0.130
         2       8.4     0.130
         2       8.4     0.130
         2       8.4     0.130
         1       8.4     0.130
         2       8.4     0.130
         2       8.4     0.130
         2       8.4     0.130
         2       8.4     0.130
         1       8.4     0.130
         1       8.4     0.130
         2       8.4     0.130
         2       8.4     0.130
         1       8.4     0.140
         1       8.4     0.140
         2       8.4     0.140
         1       8.4     0.140
         1       8.4     0.140
         2       8.4     0.140
         1       8.4     0.140
         2       8.4     0.140
         1       8.4     0.140
         1       8.4     0.140
         1       8.4     0.140
         1       8.4     0.140
         2       8.4     0.140
         2       8.4     0.140
         2       8.4     0.140
         1       8.4     0.150
         2       8.4     0.150
         2       8.4     0.150
         2       8.4     0.150
         1       8.4     0.150
         1       8.4     0.150
         1       8.4     0.150
         2       8.4     0.150
         2       8.4     0.150
         1       8.4     0.150
         2       8.4     0.150
         2       8.4     0.150
         2       8.4     0.150
         2       8.4     0.150
         2       8.4     0.150
         1       8.4     0.160
         1       8.4     0.160
         2       8.4     0.160
         1       8.4     0.160
         1       8.4     0.160
         1       8.4     0.160
         1       8.4     0.160
         1       8.4     0.160
         1       8.4     0.160
         1       8.4     0.160
         2       8.4     0.160
         2       8.4     0.160
         2       8.4     0.170
         1       8.4     0.170
         1       8.4     0.170
         1       8.4     0.180
         1       8.4     0.180
         1       8.4     0.180
         2       8.4     0.180
         2       8.4     0.180
         1       8.4     0.180
         1       8.4     0.180
         1       8.4     0.190
         2       8.4     0.190
         2       8.4     0.200
         1       8.4     0.210
         2       8.4     0.220
         1       8.5     0.080
         2       8.5     0.100
         2       8.5     0.100
         2       8.5     0.100
         2       8.5     0.110
         1       8.5     0.110
         1       8.5     0.110
         1       8.5     0.110
         1       8.5     0.110
         2       8.5     0.110
         2       8.5     0.110
         1       8.5     0.120
         1       8.5     0.120
         2       8.5     0.120
         2       8.5     0.120
         1       8.5     0.120
         1       8.5     0.120
         1       8.5     0.120
         1       8.5     0.120
         2       8.5     0.120
         1       8.5     0.120
         2       8.5     0.120
         2       8.5     0.120
         1       8.5     0.120
         1       8.5     0.120
         1       8.5     0.120
         1       8.5     0.120
         2       8.5     0.120
         1       8.5     0.130
         1       8.5     0.130
         1       8.5     0.130
         1       8.5     0.130
         2       8.5     0.130
         1       8.5     0.130
         1       8.5     0.130
         2       8.5     0.130
         1       8.5     0.130
         1       8.5     0.130
         1       8.5     0.130
         2       8.5     0.130
         1       8.5     0.130
         2       8.5     0.130
         1       8.5     0.140
         2       8.5     0.140
         2       8.5     0.140
         2       8.5     0.140
         2       8.5     0.140
         1       8.5     0.140
         2       8.5     0.140
         1       8.5     0.140
         1       8.5     0.140
         1       8.5     0.140
         2       8.5     0.140
         2       8.5     0.140
         1       8.5     0.150
         1       8.5     0.150
         2       8.5     0.150
         2       8.5     0.150
         1       8.5     0.150
         1       8.5     0.150
         2       8.5     0.150
         1       8.5     0.150
         2       8.5     0.150
         2       8.5     0.150
         1       8.5     0.150
         2       8.5     0.150
         2       8.5     0.150
         2       8.5     0.150
         1       8.5     0.150
         2       8.5     0.150
         2       8.5     0.150
         1       8.5     0.160
         1       8.5     0.160
         2       8.5     0.160
         1       8.5     0.160
         1       8.5     0.160
         1       8.5     0.160
         2       8.5     0.160
         1       8.5     0.160
         1       8.5     0.160
         1       8.5     0.160
         2       8.5     0.170
         2       8.5     0.170
         2       8.5     0.170
         2       8.5     0.170
         1       8.5     0.170
         2       8.5     0.170
         2       8.5     0.170
         1       8.5     0.180
         1       8.5     0.180
         1       8.5     0.180
         1       8.5     0.180
         2       8.5     0.190
         2       8.5     0.190
         1       8.5     0.190
         1       8.5     0.190
         2       8.5     0.200
         2       8.5     0.210
         1       8.6     0.070
         2       8.6     0.100
         2       8.6     0.100
         1       8.6     0.110
         2       8.6     0.110
         2       8.6     0.110
         1       8.6     0.110
         1       8.6     0.110
         1       8.6     0.120
         1       8.6     0.120
         2       8.6     0.120
         1       8.6     0.120
         1       8.6     0.120
         2       8.6     0.120
         2       8.6     0.120
         1       8.6     0.120
         2       8.6     0.120
         2       8.6     0.120
         2       8.6     0.120
         1       8.6     0.130
         1       8.6     0.130
         2       8.6     0.130
         2       8.6     0.130
         2       8.6     0.130
         2       8.6     0.130
         1       8.6     0.130
         1       8.6     0.130
         1       8.6     0.130
         2       8.6     0.130
         2       8.6     0.130
         1       8.6     0.130
         1       8.6     0.130
         2       8.6     0.130
         2       8.6     0.130
         1       8.6     0.130
         2       8.6     0.130
         2       8.6     0.130
         2       8.6     0.130
         1       8.6     0.130
         2       8.6     0.130
         2       8.6     0.130
         2       8.6     0.130
         2       8.6     0.140
         2       8.6     0.140
         1       8.6     0.140
         1       8.6     0.140
         1       8.6     0.140
         1       8.6     0.140
         1       8.6     0.140
         2       8.6     0.140
         1       8.6     0.140
         1       8.6     0.140
         1       8.6     0.140
         2       8.6     0.140
         2       8.6     0.140
         2       8.6     0.140
         1       8.6     0.140
         1       8.6     0.140
         1       8.6     0.140
         2       8.6     0.140
         1       8.6     0.150
         1       8.6     0.150
         2       8.6     0.150
         1       8.6     0.150
         1       8.6     0.150
         1       8.6     0.150
         2       8.6     0.150
         2       8.6     0.150
         1       8.6     0.150
         2       8.6     0.150
         1       8.6     0.150
         1       8.6     0.150
         1       8.6     0.150
         1       8.6     0.150
         1       8.6     0.160
         2       8.6     0.160
         1       8.6     0.160
         2       8.6     0.160
         2       8.6     0.160
         1       8.6     0.160
         1       8.6     0.160
         2       8.6     0.160
         1       8.6     0.170
         2       8.6     0.170
         2       8.6     0.170
         2       8.6     0.170
         1       8.6     0.170
         2       8.6     0.170
         2       8.6     0.170
         1       8.6     0.180
         2       8.6     0.180
         2       8.6     0.180
         2       8.6     0.180
         2       8.6     0.180
         2       8.6     0.180
         1       8.6     0.180
         2       8.6     0.180
         2       8.6     0.190
         2       8.6     0.190
         2       8.6     0.190
         1       8.6     0.200
         1       8.6     0.200
         1       8.6     0.200
         1       8.6     0.200
         2       8.6     0.210
         2       8.6     0.210
         1       8.6     0.210
         2       8.6     0.220
         2       8.6     0.230
         2       8.6     0.240
         1       8.7     0.090
         1       8.7     0.100
         2       8.7     0.110
         1       8.7     0.110
         1       8.7     0.110
         1       8.7     0.120
         2       8.7     0.120
         1       8.7     0.120
         1       8.7     0.120
         1       8.7     0.120
         1       8.7     0.120
         1       8.7     0.130
         2       8.7     0.130
         2       8.7     0.130
         1       8.7     0.130
         2       8.7     0.130
         2       8.7     0.130
         1       8.7     0.130
         1       8.7     0.130
         1       8.7     0.130
         2       8.7     0.130
         1       8.7     0.140
         2       8.7     0.140
         1       8.7     0.140
         1       8.7     0.140
         1       8.7     0.140
         1       8.7     0.140
         2       8.7     0.140
         2       8.7     0.140
         2       8.7     0.140
         2       8.7     0.140
         1       8.7     0.140
         1       8.7     0.140
         1       8.7     0.140
         2       8.7     0.140
         1       8.7     0.140
         1       8.7     0.140
         2       8.7     0.140
         2       8.7     0.140
         1       8.7     0.150
         2       8.7     0.150
         2       8.7     0.150
         2       8.7     0.150
         2       8.7     0.150
         1       8.7     0.150
         1       8.7     0.150
         2       8.7     0.150
         2       8.7     0.150
         2       8.7     0.150
         1       8.7     0.150
         1       8.7     0.150
         1       8.7     0.150
         1       8.7     0.150
         1       8.7     0.150
         2       8.7     0.150
         2       8.7     0.150
         1       8.7     0.150
         1       8.7     0.150
         1       8.7     0.150
         1       8.7     0.150
         2       8.7     0.150
         1       8.7     0.150
         1       8.7     0.160
         2       8.7     0.160
         2       8.7     0.160
         2       8.7     0.160
         1       8.7     0.160
         2       8.7     0.160
         1       8.7     0.160
         2       8.7     0.160
         1       8.7     0.160
         1       8.7     0.160
         1       8.7     0.160
         2       8.7     0.160
         2       8.7     0.160
         2       8.7     0.160
         1       8.7     0.170
         1       8.7     0.170
         1       8.7     0.170
         1       8.7     0.170
         2       8.7     0.170
         2       8.7     0.170
         2       8.7     0.170
         1       8.7     0.170
         1       8.7     0.170
         2       8.7     0.170
         1       8.7     0.170
         1       8.7     0.170
         1       8.7     0.170
         1       8.7     0.170
         2       8.7     0.170
         2       8.7     0.180
         2       8.7     0.180
         2       8.7     0.180
         1       8.7     0.180
         1       8.7     0.180
         2       8.7     0.180
         2       8.7     0.180
         2       8.7     0.180
         2       8.7     0.190
         2       8.7     0.190
         1       8.7     0.190
         1       8.7     0.190
         2       8.7     0.190
         1       8.7     0.200
         1       8.7     0.200
         2       8.7     0.210
         1       8.7     0.210
         2       8.7     0.210
         1       8.7     0.220
         1       8.7     0.220
         1       8.7     0.230
         1       8.7     0.230
         2       8.7     0.240
         1       8.7     0.240
         1       8.7     0.250
         2       8.7     0.260
         1       8.8     0.050
         2       8.8     0.100
         1       8.8     0.100
         1       8.8     0.100
         1       8.8     0.110
         1       8.8     0.120
         1       8.8     0.120
         2       8.8     0.120
         2       8.8     0.120
         2       8.8     0.120
         2       8.8     0.120
         2       8.8     0.120
         1       8.8     0.130
