              f               c             lic             lsc              c1            lic1            lsc1
      1.0000000      25.1000000    9999.0000000    9999.0000000      25.1000000    9999.0000000    9999.0000000
      2.0000000      24.5000000    9999.0000000    9999.0000000      24.5000000    9999.0000000    9999.0000000
