        f1         f2          x        dif         li         ls         bi         bs       dif1        li1        ls1        bi1        bs1       dif2        li2        ls2        bi2        bs2
    1.0000     2.0000     8.9303    -0.0027    -0.0041    -0.0011    -0.0046    -0.0009    -0.0005    -0.0008    -0.0001    -0.0009    -0.0001     0.0000    -0.0001     0.0002    -0.0002     0.0002
    1.0000     2.0000     9.1646    -0.0029    -0.0042    -0.0011    -0.0048    -0.0010    -0.0005    -0.0009    -0.0001    -0.0010     0.0000     0.0000    -0.0001     0.0002    -0.0002     0.0002
    1.0000     2.0000     9.3990    -0.0030    -0.0044    -0.0012    -0.0049    -0.0010    -0.0005    -0.0009     0.0000    -0.0010     0.0000     0.0000    -0.0001     0.0002    -0.0002     0.0002
    1.0000     2.0000     9.6333    -0.0031    -0.0046    -0.0013    -0.0051    -0.0011    -0.0005    -0.0009     0.0000    -0.0010     0.0001     0.0000    -0.0001     0.0002    -0.0002     0.0003
    1.0000     2.0000     9.8677    -0.0032    -0.0047    -0.0013    -0.0053    -0.0011    -0.0005    -0.0009     0.0000    -0.0011     0.0001     0.0000    -0.0001     0.0002    -0.0002     0.0003
    1.0000     2.0000    10.1020    -0.0033    -0.0049    -0.0014    -0.0055    -0.0011    -0.0005    -0.0009     0.0001    -0.0011     0.0002     0.0000    -0.0001     0.0002    -0.0002     0.0003
    1.0000     2.0000    10.3364    -0.0034    -0.0050    -0.0014    -0.0057    -0.0012    -0.0005    -0.0010     0.0001    -0.0011     0.0002     0.0001    -0.0001     0.0003    -0.0002     0.0003
    1.0000     2.0000    10.5707    -0.0035    -0.0052    -0.0015    -0.0059    -0.0012    -0.0004    -0.0010     0.0002    -0.0012     0.0003     0.0001    -0.0001     0.0003    -0.0002     0.0003
    1.0000     2.0000    10.8051    -0.0036    -0.0054    -0.0016    -0.0061    -0.0012    -0.0004    -0.0010     0.0002    -0.0012     0.0004     0.0001    -0.0001     0.0003    -0.0002     0.0004
    1.0000     2.0000    11.0394    -0.0037    -0.0056    -0.0016    -0.0063    -0.0012    -0.0004    -0.0010     0.0003    -0.0013     0.0004     0.0001    -0.0001     0.0003    -0.0002     0.0004
    1.0000     2.0000    11.2737    -0.0038    -0.0058    -0.0016    -0.0065    -0.0011    -0.0004    -0.0011     0.0004    -0.0013     0.0005     0.0001    -0.0001     0.0003    -0.0002     0.0004
    1.0000     2.0000    11.5081    -0.0039    -0.0060    -0.0015    -0.0067    -0.0011    -0.0004    -0.0011     0.0004    -0.0013     0.0006     0.0001    -0.0001     0.0003    -0.0002     0.0004
    1.0000     2.0000    11.7424    -0.0040    -0.0062    -0.0013    -0.0069    -0.0010    -0.0003    -0.0011     0.0005    -0.0014     0.0007     0.0001    -0.0001     0.0004    -0.0002     0.0004
    1.0000     2.0000    11.9768    -0.0041    -0.0065    -0.0012    -0.0072    -0.0009    -0.0003    -0.0012     0.0006    -0.0014     0.0008     0.0001    -0.0001     0.0004    -0.0002     0.0005
    1.0000     2.0000    12.2111    -0.0041    -0.0067    -0.0011    -0.0074    -0.0008    -0.0003    -0.0012     0.0007    -0.0015     0.0009     0.0001    -0.0001     0.0004    -0.0002     0.0005
    1.0000     2.0000    12.4455    -0.0042    -0.0069    -0.0009    -0.0077    -0.0007    -0.0003    -0.0012     0.0008    -0.0015     0.0010     0.0001    -0.0001     0.0004    -0.0003     0.0005
    1.0000     2.0000    12.6798    -0.0043    -0.0072    -0.0008    -0.0080    -0.0005    -0.0002    -0.0012     0.0009    -0.0016     0.0011     0.0001    -0.0001     0.0004    -0.0003     0.0005
    1.0000     2.0000    12.9141    -0.0043    -0.0074    -0.0007    -0.0083    -0.0003    -0.0002    -0.0013     0.0010    -0.0017     0.0013     0.0001    -0.0002     0.0005    -0.0003     0.0005
    1.0000     2.0000    13.1485    -0.0044    -0.0075    -0.0005    -0.0086    -0.0001    -0.0002    -0.0013     0.0011    -0.0017     0.0014     0.0001    -0.0002     0.0005    -0.0003     0.0006
    1.0000     2.0000    13.3828    -0.0044    -0.0077    -0.0003    -0.0090     0.0002    -0.0001    -0.0013     0.0012    -0.0018     0.0015     0.0002    -0.0002     0.0005    -0.0003     0.0006
    1.0000     2.0000    13.6172    -0.0044    -0.0079    -0.0001    -0.0093     0.0005    -0.0001    -0.0013     0.0013    -0.0018     0.0016     0.0002    -0.0002     0.0005    -0.0003     0.0006
    1.0000     2.0000    13.8515    -0.0044    -0.0082     0.0001    -0.0097     0.0008    -0.0001    -0.0014     0.0015    -0.0019     0.0018     0.0002    -0.0002     0.0005    -0.0003     0.0006
    1.0000     2.0000    14.0859    -0.0044    -0.0085     0.0003    -0.0100     0.0012     0.0000    -0.0014     0.0016    -0.0020     0.0019     0.0002    -0.0002     0.0005    -0.0003     0.0006
    1.0000     2.0000    14.3202    -0.0044    -0.0089     0.0006    -0.0105     0.0016     0.0000    -0.0014     0.0017    -0.0020     0.0021     0.0002    -0.0002     0.0006    -0.0003     0.0007
    1.0000     2.0000    14.5545    -0.0044    -0.0093     0.0010    -0.0109     0.0020     0.0001    -0.0015     0.0018    -0.0021     0.0022     0.0002    -0.0002     0.0006    -0.0003     0.0007
    1.0000     2.0000    14.7889    -0.0044    -0.0096     0.0014    -0.0113     0.0025     0.0001    -0.0015     0.0020    -0.0022     0.0024     0.0002    -0.0002     0.0006    -0.0003     0.0007
    1.0000     2.0000    15.0232    -0.0044    -0.0100     0.0018    -0.0118     0.0030     0.0002    -0.0015     0.0021    -0.0022     0.0026     0.0002    -0.0002     0.0006    -0.0003     0.0007
    1.0000     2.0000    15.2576    -0.0043    -0.0103     0.0023    -0.0122     0.0036     0.0002    -0.0016     0.0023    -0.0023     0.0027     0.0002    -0.0002     0.0006    -0.0003     0.0008
    1.0000     2.0000    15.4919    -0.0043    -0.0107     0.0027    -0.0127     0.0042     0.0003    -0.0016     0.0024    -0.0024     0.0029     0.0002    -0.0002     0.0007    -0.0003     0.0008
    1.0000     2.0000    15.7263    -0.0042    -0.0110     0.0033    -0.0132     0.0048     0.0003    -0.0017     0.0026    -0.0024     0.0031     0.0002    -0.0002     0.0007    -0.0003     0.0008
    1.0000     2.0000    15.9606    -0.0041    -0.0114     0.0039    -0.0138     0.0055     0.0004    -0.0017     0.0027    -0.0025     0.0033     0.0002    -0.0002     0.0007    -0.0003     0.0008
    1.0000     2.0000    16.1949    -0.0040    -0.0118     0.0046    -0.0143     0.0063     0.0004    -0.0017     0.0029    -0.0026     0.0035     0.0003    -0.0002     0.0007    -0.0003     0.0008
    1.0000     2.0000    16.4293    -0.0039    -0.0122     0.0052    -0.0149     0.0071     0.0005    -0.0018     0.0030    -0.0027     0.0037     0.0003    -0.0002     0.0007    -0.0003     0.0009
    1.0000     2.0000    16.6636    -0.0038    -0.0125     0.0060    -0.0155     0.0079     0.0006    -0.0018     0.0032    -0.0028     0.0039     0.0003    -0.0002     0.0008    -0.0003     0.0009
    1.0000     2.0000    16.8980    -0.0036    -0.0129     0.0068    -0.0161     0.0088     0.0006    -0.0019     0.0034    -0.0028     0.0041     0.0003    -0.0002     0.0008    -0.0004     0.0009
    1.0000     2.0000    17.1323    -0.0035    -0.0133     0.0076    -0.0167     0.0097     0.0007    -0.0019     0.0036    -0.0029     0.0043     0.0003    -0.0002     0.0008    -0.0004     0.0009
    1.0000     2.0000    17.3667    -0.0033    -0.0137     0.0084    -0.0174     0.0107     0.0008    -0.0019     0.0037    -0.0030     0.0045     0.0003    -0.0002     0.0008    -0.0004     0.0010
    1.0000     2.0000    17.6010    -0.0031    -0.0141     0.0093    -0.0180     0.0118     0.0008    -0.0020     0.0039    -0.0031     0.0048     0.0003    -0.0002     0.0008    -0.0004     0.0010
    1.0000     2.0000    17.8354    -0.0029    -0.0145     0.0103    -0.0187     0.0129     0.0009    -0.0020     0.0041    -0.0032     0.0050     0.0003    -0.0002     0.0009    -0.0004     0.0010
    1.0000     2.0000    18.0697    -0.0027    -0.0150     0.0113    -0.0194     0.0140     0.0010    -0.0021     0.0043    -0.0033     0.0052     0.0003    -0.0002     0.0009    -0.0004     0.0010
    1.0000     2.0000    18.3040    -0.0025    -0.0154     0.0123    -0.0202     0.0152     0.0011    -0.0021     0.0045    -0.0033     0.0055     0.0003    -0.0002     0.0009    -0.0004     0.0011
    1.0000     2.0000    18.5384    -0.0022    -0.0158     0.0134    -0.0209     0.0165     0.0011    -0.0022     0.0047    -0.0034     0.0057     0.0003    -0.0002     0.0009    -0.0004     0.0011
    1.0000     2.0000    18.7727    -0.0019    -0.0162     0.0145    -0.0217     0.0179     0.0012    -0.0022     0.0049    -0.0035     0.0060     0.0004    -0.0002     0.0009    -0.0004     0.0011
    1.0000     2.0000    19.0071    -0.0016    -0.0167     0.0157    -0.0225     0.0192     0.0013    -0.0022     0.0051    -0.0036     0.0062     0.0004    -0.0002     0.0010    -0.0004     0.0011
    1.0000     2.0000    19.2414    -0.0013    -0.0171     0.0169    -0.0233     0.0207     0.0014    -0.0023     0.0054    -0.0037     0.0065     0.0004    -0.0002     0.0010    -0.0004     0.0012
    1.0000     2.0000    19.4758    -0.0010    -0.0176     0.0182    -0.0242     0.0222     0.0015    -0.0023     0.0056    -0.0038     0.0068     0.0004    -0.0002     0.0010    -0.0004     0.0012
    1.0000     2.0000    19.7101    -0.0006    -0.0180     0.0196    -0.0250     0.0238     0.0016    -0.0024     0.0058    -0.0039     0.0071     0.0004    -0.0002     0.0010    -0.0004     0.0012
    1.0000     2.0000    19.9444    -0.0002    -0.0185     0.0210    -0.0259     0.0255     0.0017    -0.0024     0.0061    -0.0040     0.0073     0.0004    -0.0002     0.0010    -0.0004     0.0012
    1.0000     2.0000    20.1788     0.0002    -0.0191     0.0224    -0.0268     0.0272     0.0018    -0.0025     0.0063    -0.0041     0.0076     0.0004    -0.0002     0.0011    -0.0004     0.0013
    1.0000     2.0000    20.4131     0.0006    -0.0196     0.0239    -0.0278     0.0290     0.0019    -0.0025     0.0066    -0.0042     0.0079     0.0004    -0.0002     0.0011    -0.0004     0.0013
    1.0000     2.0000    20.6475     0.0010    -0.0202     0.0255    -0.0287     0.0308     0.0020    -0.0025     0.0068    -0.0043     0.0082     0.0004    -0.0002     0.0011    -0.0004     0.0013
    1.0000     2.0000    20.8818     0.0015    -0.0208     0.0271    -0.0297     0.0327     0.0021    -0.0026     0.0071    -0.0044     0.0085     0.0004    -0.0002     0.0011    -0.0004     0.0013
    1.0000     2.0000    21.1162     0.0020    -0.0214     0.0288    -0.0307     0.0347     0.0022    -0.0026     0.0074    -0.0045     0.0088     0.0004    -0.0002     0.0012    -0.0005     0.0014
    1.0000     2.0000    21.3505     0.0025    -0.0221     0.0305    -0.0318     0.0368     0.0023    -0.0027     0.0076    -0.0046     0.0092     0.0005    -0.0002     0.0012    -0.0005     0.0014
    1.0000     2.0000    21.5848     0.0031    -0.0227     0.0323    -0.0328     0.0390     0.0024    -0.0027     0.0079    -0.0047     0.0095     0.0005    -0.0002     0.0012    -0.0005     0.0014
    1.0000     2.0000    21.8192     0.0036    -0.0234     0.0342    -0.0339     0.0412     0.0025    -0.0028     0.0082    -0.0048     0.0098     0.0005    -0.0002     0.0012    -0.0005     0.0014
    1.0000     2.0000    22.0535     0.0042    -0.0240     0.0361    -0.0350     0.0435     0.0026    -0.0028     0.0085    -0.0049     0.0102     0.0005    -0.0002     0.0012    -0.0005     0.0015
    1.0000     2.0000    22.2879     0.0049    -0.0247     0.0381    -0.0362     0.0459     0.0027    -0.0029     0.0088    -0.0051     0.0105     0.0005    -0.0002     0.0013    -0.0005     0.0015
    1.0000     2.0000    22.5222     0.0055    -0.0254     0.0402    -0.0373     0.0483     0.0028    -0.0029     0.0091    -0.0052     0.0108     0.0005    -0.0002     0.0013    -0.0005     0.0015
    1.0000     2.0000    22.7566     0.0062    -0.0260     0.0423    -0.0385     0.0509     0.0030    -0.0030     0.0094    -0.0053     0.0112     0.0005    -0.0002     0.0013    -0.0005     0.0015
    1.0000     2.0000    22.9909     0.0069    -0.0268     0.0445    -0.0397     0.0535     0.0031    -0.0030     0.0097    -0.0054     0.0116     0.0005    -0.0002     0.0013    -0.0005     0.0016
    1.0000     2.0000    23.2253     0.0076    -0.0275     0.0467    -0.0410     0.0562     0.0032    -0.0031     0.0100    -0.0055     0.0119     0.0005    -0.0002     0.0014    -0.0005     0.0016
    1.0000     2.0000    23.4596     0.0084    -0.0282     0.0491    -0.0422     0.0590     0.0033    -0.0031     0.0103    -0.0056     0.0123     0.0005    -0.0002     0.0014    -0.0005     0.0016
    1.0000     2.0000    23.6939     0.0092    -0.0289     0.0515    -0.0435     0.0619     0.0035    -0.0032     0.0106    -0.0058     0.0127     0.0006    -0.0002     0.0014    -0.0005     0.0016
    1.0000     2.0000    23.9283     0.0100    -0.0297     0.0539    -0.0449     0.0649     0.0036    -0.0032     0.0110    -0.0059     0.0131     0.0006    -0.0002     0.0014    -0.0005     0.0017
    1.0000     2.0000    24.1626     0.0109    -0.0304     0.0565    -0.0462     0.0680     0.0037    -0.0033     0.0113    -0.0060     0.0134     0.0006    -0.0002     0.0014    -0.0005     0.0017
    1.0000     2.0000    24.3970     0.0118    -0.0312     0.0591    -0.0476     0.0711     0.0039    -0.0033     0.0116    -0.0061     0.0138     0.0006    -0.0002     0.0015    -0.0005     0.0017
    1.0000     2.0000    24.6313     0.0127    -0.0320     0.0618    -0.0490     0.0744     0.0040    -0.0034     0.0120    -0.0062     0.0142     0.0006    -0.0002     0.0015    -0.0005     0.0017
    1.0000     2.0000    24.8657    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000
    1.0000     2.0000    25.1000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000
