              f               x               p             lip             lsp             bip             bsp              p1            lip1            lsp1            bip1            bsp1              p2            lip2            lsp2            bip2            bsp2
      1.0000000       8.9303030       0.1640579       0.1632718       0.1653583       0.1627073       0.1654086       0.0528751       0.0526423       0.0531270       0.0525696       0.0531807       0.0111205       0.0110126       0.0112447       0.0109829       0.0112582
      1.0000000       9.1646465       0.1767566       0.1759240       0.1780877       0.1753631       0.1781501       0.0555111       0.0552536       0.0557820       0.0551857       0.0558366       0.0113764       0.0112629       0.0115081       0.0112306       0.0115222
      1.0000000       9.3989899       0.1900800       0.1891997       0.1914381       0.1886430       0.1915169       0.0582070       0.0579236       0.0584907       0.0578587       0.0585554       0.0116315       0.0115123       0.0117709       0.0114773       0.0117856
      1.0000000       9.6333333       0.2040421       0.2031140       0.2054233       0.2025607       0.2055235       0.0609626       0.0606520       0.0612594       0.0605884       0.0613367       0.0118858       0.0117609       0.0120329       0.0117232       0.0120484
      1.0000000       9.8676768       0.2186570       0.2176821       0.2200570       0.2171293       0.2201847       0.0637777       0.0634438       0.0640944       0.0633748       0.0641805       0.0121393       0.0120087       0.0122943       0.0119681       0.0123105
      1.0000000      10.1020202       0.2339385       0.2329161       0.2353759       0.2323619       0.2355151       0.0666521       0.0662948       0.0669919       0.0662176       0.0670866       0.0123921       0.0122557       0.0125550       0.0122123       0.0125720
      1.0000000      10.3363636       0.2499005       0.2488299       0.2513742       0.2482716       0.2515295       0.0695856       0.0692041       0.0699556       0.0691167       0.0700546       0.0126442       0.0125019       0.0128150       0.0124556       0.0128329
      1.0000000      10.5707071       0.2665570       0.2654374       0.2680644       0.2648711       0.2682429       0.0725782       0.0721616       0.0729795       0.0720720       0.0730844       0.0128956       0.0127474       0.0130745       0.0126981       0.0130931
      1.0000000      10.8050505       0.2839216       0.2827497       0.2854601       0.2821731       0.2856701       0.0756296       0.0751757       0.0760637       0.0750834       0.0761759       0.0131464       0.0129922       0.0133333       0.0129399       0.0133528
      1.0000000      11.0393939       0.3020082       0.3007489       0.3035970       0.3001902       0.3038261       0.0787397       0.0782472       0.0792185       0.0781507       0.0793287       0.0133964       0.0132363       0.0135915       0.0131809       0.0136120
      1.0000000      11.2737374       0.3208304       0.3195207       0.3225005       0.3189349       0.3227259       0.0819083       0.0813740       0.0824338       0.0812739       0.0825427       0.0136459       0.0134797       0.0138487       0.0134211       0.0138706
      1.0000000      11.5080808       0.3404021       0.3390235       0.3421063       0.3384195       0.3423846       0.0851353       0.0845627       0.0857094       0.0844529       0.0858176       0.0138946       0.0137224       0.0141053       0.0136607       0.0141286
      1.0000000      11.7424242       0.3607367       0.3592748       0.3624571       0.3586565       0.3628170       0.0884205       0.0878068       0.0890452       0.0876875       0.0891535       0.0141428       0.0139645       0.0143614       0.0138995       0.0143861
      1.0000000      11.9767677       0.3818481       0.3803014       0.3836204       0.3796581       0.3840381       0.0917638       0.0911076       0.0924411       0.0909776       0.0925499       0.0143904       0.0142060       0.0146169       0.0141377       0.0146431
      1.0000000      12.2111111       0.4037497       0.4021019       0.4056302       0.4014369       0.4060626       0.0951650       0.0944649       0.0958969       0.0943231       0.0960069       0.0146374       0.0144468       0.0148719       0.0143752       0.0148995
      1.0000000      12.4454545       0.4264552       0.4246406       0.4284682       0.4240052       0.4289053       0.0986241       0.0978786       0.0994124       0.0977239       0.0995242       0.0148838       0.0146870       0.0151263       0.0146121       0.0151555
      1.0000000      12.6797980       0.4499781       0.4479866       0.4521310       0.4473755       0.4525806       0.1021408       0.1013485       0.1029877       0.1011799       0.1031017       0.0151296       0.0149266       0.0153803       0.0148483       0.0154109
      1.0000000      12.9141414       0.4743318       0.4721532       0.4766471       0.4715603       0.4771032       0.1057151       0.1048744       0.1066225       0.1046908       0.1067393       0.0153749       0.0151656       0.0156337       0.0150839       0.0156659
      1.0000000      13.1484848       0.4995298       0.4971534       0.5019661       0.4965724       0.5024872       0.1093468       0.1084563       0.1103168       0.1082568       0.1104368       0.0156196       0.0154040       0.0158866       0.0153188       0.0159204
      1.0000000      13.3828283       0.5255856       0.5230004       0.5281468       0.5224243       0.5287470       0.1130357       0.1120940       0.1140705       0.1118775       0.1141940       0.0158638       0.0156419       0.0161391       0.0155532       0.0161745
      1.0000000      13.6171717       0.5525126       0.5497074       0.5552028       0.5491287       0.5558966       0.1167819       0.1157874       0.1178833       0.1155529       0.1180109       0.0161075       0.0158793       0.0163910       0.0157870       0.0164281
      1.0000000      13.8515152       0.5803242       0.5773131       0.5831813       0.5766985       0.5839500       0.1205851       0.1195364       0.1217553       0.1192828       0.1218874       0.0163507       0.0161160       0.0166425       0.0160202       0.0166812
      1.0000000      14.0858586       0.6090337       0.6058191       0.6120891       0.6051463       0.6129211       0.1244452       0.1233408       0.1256863       0.1230672       0.1258233       0.0165934       0.0163523       0.0168936       0.0162529       0.0169339
      1.0000000      14.3202020       0.6386545       0.6352273       0.6419254       0.6344851       0.6428239       0.1283622       0.1272005       0.1296762       0.1269059       0.1298184       0.0168356       0.0165879       0.0171442       0.0164850       0.0171862
      1.0000000      14.5545455       0.6691998       0.6655507       0.6727304       0.6647274       0.6736722       0.1323358       0.1311153       0.1337249       0.1307988       0.1338728       0.0170773       0.0168225       0.0173943       0.0167166       0.0174381
      1.0000000      14.7888889       0.7006830       0.6967759       0.7044860       0.6958863       0.7054797       0.1363660       0.1350853       0.1378323       0.1347458       0.1379862       0.0173185       0.0170565       0.0176441       0.0169476       0.0176895
      1.0000000      15.0232323       0.7331172       0.7288827       0.7372050       0.7279743       0.7382601       0.1404528       0.1391102       0.1419983       0.1387468       0.1421587       0.0175593       0.0172901       0.0178934       0.0171781       0.0179405
      1.0000000      15.2575758       0.7665157       0.7619482       0.7708980       0.7610042       0.7720272       0.1445958       0.1431899       0.1462228       0.1428017       0.1463900       0.0177996       0.0175232       0.0181422       0.0174081       0.0181912
      1.0000000      15.4919192       0.8008918       0.7959753       0.8056650       0.7949889       0.8067947       0.1487952       0.1473243       0.1505057       0.1469103       0.1506800       0.0180395       0.0177558       0.0183907       0.0176376       0.0184414
      1.0000000      15.7262626       0.8362585       0.8309767       0.8414426       0.8299409       0.8425761       0.1530507       0.1515134       0.1548470       0.1510726       0.1550288       0.0182789       0.0179879       0.0186388       0.0178666       0.0186912
      1.0000000      15.9606061       0.8726290       0.8669485       0.8782443       0.8658729       0.8793851       0.1573622       0.1557569       0.1592464       0.1552884       0.1594361       0.0185179       0.0182196       0.0188864       0.0180951       0.0189407
      1.0000000      16.1949495       0.9100164       0.9039564       0.9160838       0.9027976       0.9172353       0.1617297       0.1600549       0.1637040       0.1595576       0.1639019       0.0187565       0.0184508       0.0191337       0.0183232       0.0191898
      1.0000000      16.4292929       0.9484340       0.9419750       0.9549747       0.9407276       0.9561403       0.1661531       0.1644071       0.1682197       0.1638801       0.1684261       0.0189946       0.0186816       0.0193806       0.0185507       0.0194385
      1.0000000      16.6636364       0.9878946       0.9810179       0.9949307       0.9796754       0.9961137       0.1706322       0.1688136       0.1727932       0.1682559       0.1730086       0.0192323       0.0189119       0.0196271       0.0187779       0.0196868
      1.0000000      16.8979798       1.0284114       1.0210999       1.0359652       1.0196537       1.0371691       0.1751670       0.1732741       0.1774247       0.1726848       0.1776493       0.0194697       0.0191417       0.0198733       0.0190045       0.0199348
      1.0000000      17.1323232       1.0699974       1.0622335       1.0780918       1.0606748       1.0793199       0.1797574       0.1777886       0.1821140       0.1771666       0.1823481       0.0197066       0.0193712       0.0201191       0.0192307       0.0201824
      1.0000000      17.3666667       1.1126656       1.1044313       1.1213241       1.1027515       1.1225798       0.1844032       0.1823570       0.1868609       0.1817014       0.1871049       0.0199431       0.0196002       0.0203645       0.0194565       0.0204297
      1.0000000      17.6010101       1.1564291       1.1477060       1.1656756       1.1458960       1.1669622       0.1891044       0.1869792       0.1916655       0.1862891       0.1919197       0.0201792       0.0198288       0.0206095       0.0196818       0.0206766
      1.0000000      17.8353535       1.2013007       1.1920702       1.2111597       1.1901208       1.2124806       0.1938609       0.1916551       0.1965275       0.1909294       0.1967924       0.0204150       0.0200570       0.0208542       0.0199067       0.0209232
      1.0000000      18.0696970       1.2472934       1.2375364       1.2577899       1.2354383       1.2591486       0.1986726       0.1963845       0.2014471       0.1956223       0.2017229       0.0206504       0.0202848       0.0210986       0.0201312       0.0211695
      1.0000000      18.3040404       1.2944202       1.2841172       1.3055798       1.2818609       1.3069796       0.2035394       0.2011675       0.2064240       0.2003678       0.2067111       0.0208854       0.0205122       0.0213426       0.0203553       0.0214154
      1.0000000      18.5383838       1.3426940       1.3318251       1.3545426       1.3294010       1.3559870       0.2084613       0.2060039       0.2114582       0.2051657       0.2117569       0.0211200       0.0207392       0.0215863       0.0205790       0.0216610
      1.0000000      18.7727273       1.3921276       1.3806727       1.4046919       1.3780709       1.4061843       0.2134381       0.2108937       0.2165482       0.2100159       0.2168602       0.0213543       0.0209659       0.0218297       0.0208022       0.0219063
      1.0000000      19.0070707       1.4427339       1.4306724       1.4560411       1.4278828       1.4575850       0.2184697       0.2158366       0.2216923       0.2149184       0.2220210       0.0215882       0.0211922       0.0220727       0.0210251       0.0221513
      1.0000000      19.2414141       1.4945258       1.4818366       1.5086034       1.4788491       1.5102025       0.2235562       0.2208328       0.2268933       0.2198731       0.2272393       0.0218218       0.0214181       0.0223154       0.0212476       0.0223960
      1.0000000      19.4757576       1.5475160       1.5341779       1.5623924       1.5309820       1.5640501       0.2286973       0.2258820       0.2321512       0.2248798       0.2325148       0.0220550       0.0216436       0.0225578       0.0214697       0.0226403
      1.0000000      19.7101010       1.6017174       1.5877087       1.6174212       1.5842937       1.6191412       0.2338930       0.2309841       0.2374658       0.2299384       0.2378476       0.0222879       0.0218687       0.0227999       0.0216914       0.0228844
      1.0000000      19.9444444       1.6571429       1.6424413       1.6737034       1.6387964       1.6754893       0.2391433       0.2361392       0.2428372       0.2350490       0.2432376       0.0225204       0.0220927       0.0230416       0.0219128       0.0231281
      1.0000000      20.1787879       1.7138050       1.6983882       1.7312521       1.6945024       1.7331077       0.2444480       0.2413471       0.2482651       0.2402114       0.2486847       0.0227527       0.0223163       0.0232831       0.0221337       0.0233716
      1.0000000      20.4131313       1.7717167       1.7555616       1.7900807       1.7514237       1.7920097       0.2498072       0.2466077       0.2537496       0.2454255       0.2541888       0.0229845       0.0225396       0.0235242       0.0223543       0.0236148
      1.0000000      20.6474747       1.8308906       1.8139741       1.8502024       1.8095726       1.8522086       0.2552206       0.2519210       0.2592906       0.2506912       0.2597499       0.0232161       0.0227625       0.0237651       0.0225746       0.0238576
      1.0000000      20.8818182       1.8913395       1.8736378       1.9116306       1.8689611       1.9137179       0.2606882       0.2572868       0.2648880       0.2560085       0.2653679       0.0234474       0.0229851       0.0240057       0.0227945       0.0241002
      1.0000000      21.1161616       1.9530760       1.9345651       1.9743784       1.9296013       1.9765507       0.2662100       0.2627051       0.2705417       0.2613773       0.2710427       0.0236783       0.0232073       0.0242459       0.0230140       0.0243425
      1.0000000      21.3505051       2.0161128       1.9967683       2.0384592       1.9915053       2.0407204       0.2717859       0.2681759       0.2762517       0.2667974       0.2767743       0.0239089       0.0234292       0.0244859       0.0232332       0.0245846
      1.0000000      21.5848485       2.0804627       2.0602597       2.1038860       2.0546852       2.1062402       0.2774158       0.2736990       0.2820179       0.2722689       0.2825626       0.0241392       0.0236507       0.0247256       0.0234521       0.0248263
      1.0000000      21.8191919       2.1461382       2.1250515       2.1706722       2.1191529       2.1731234       0.2830996       0.2792743       0.2878403       0.2777916       0.2884076       0.0243692       0.0238719       0.0249651       0.0236706       0.0250678
      1.0000000      22.0535354       2.2131519       2.1911560       2.2388309       2.1849206       2.2413833       0.2888373       0.2849018       0.2937187       0.2833654       0.2943091       0.0245989       0.0240928       0.0252042       0.0238888       0.0253090
      1.0000000      22.2878788       2.2815166       2.2585854       2.3083752       2.2520001       2.3110331       0.2946287       0.2905815       0.2996531       0.2889904       0.3002671       0.0248283       0.0243134       0.0254431       0.0241066       0.0255500
      1.0000000      22.5222222       2.3512448       2.3273518       2.3793184       2.3204036       2.3820860       0.3004739       0.2963132       0.3056435       0.2946663       0.3062816       0.0250574       0.0245336       0.0256817       0.0243242       0.0257907
      1.0000000      22.7565657       2.4223490       2.3974675       2.4516735       2.3901428       2.4545552       0.3063728       0.3020968       0.3116898       0.3003932       0.3123524       0.0252862       0.0247535       0.0259200       0.0245414       0.0260311
      1.0000000      22.9909091       2.4948419       2.4689447       2.5254538       2.4612299       2.5284538       0.3123253       0.3079324       0.3177919       0.3061709       0.3184796       0.0255148       0.0249732       0.0261581       0.0247583       0.0262713
      1.0000000      23.2252525       2.5687359       2.5417954       2.6006723       2.5336766       2.6037952       0.3183312       0.3138198       0.3239497       0.3119994       0.3246631       0.0257430       0.0251925       0.0263959       0.0249748       0.0265112
      1.0000000      23.4595960       2.6440437       2.6160319       2.6773421       2.6074949       2.6805925       0.3243906       0.3197589       0.3301633       0.3178786       0.3309027       0.0259710       0.0254115       0.0266335       0.0251911       0.0267509
      1.0000000      23.6939394       2.7207777       2.6916663       2.7554763       2.6826967       2.7588587       0.3305035       0.3257498       0.3364325       0.3238084       0.3371985       0.0261987       0.0256302       0.0268708       0.0254071       0.0269903
      1.0000000      23.9282828       2.7989505       2.7687106       2.8350879       2.7592939       2.8386071       0.3366696       0.3317922       0.3427573       0.3297888       0.3435504       0.0264261       0.0258486       0.0271078       0.0256227       0.0272295
      1.0000000      24.1626263       2.8785745       2.8471770       2.9161901       2.8372983       2.9198507       0.3428890       0.3378862       0.3491376       0.3358197       0.3499583       0.0266532       0.0260667       0.0273446       0.0258381       0.0274684
      1.0000000      24.3969697       2.9596622       2.9270775       2.9987959       2.9167217       3.0026027       0.3491616       0.3440311       0.3555733       0.3419010       0.3564222       0.0268801       0.0262845       0.0275812       0.0260531       0.0277071
