         f          x          y
    1.0000     3.7000     0.0100
    1.0000     3.7000     0.0100
    1.0000     3.7000     0.0100
    1.0000     3.7000     0.0100
    1.0000     3.7000     0.0100
    1.0000     3.7000     0.0100
    1.0000     3.7000     0.0100
    2.0000     3.7000     0.0100
    2.0000     3.7000     0.0100
    1.0000     3.7000     0.0100
    1.0000     3.7000     0.0100
    1.0000     3.7000     0.0100
    1.0000     3.7000     0.0100
    1.0000     3.7000     0.0100
    1.0000     3.7000     0.0100
    1.0000     3.7000     0.0100
    2.0000     3.7000     0.0100
    1.0000     3.7000     0.0100
    2.0000     3.7000     0.0200
    2.0000     3.7000     0.0200
    2.0000     3.7000     0.0200
    2.0000     3.7000     0.0200
    1.0000     3.7000     0.0200
    1.0000     3.7000     0.0200
    2.0000     3.7000     0.0200
    1.0000     3.7000     0.0200
    1.0000     3.8000     0.0100
    1.0000     3.8000     0.0100
    2.0000     3.8000     0.0100
    2.0000     3.8000     0.0100
    1.0000     3.8000     0.0100
    1.0000     3.8000     0.0100
    1.0000     3.8000     0.0100
    1.0000     3.8000     0.0100
    1.0000     3.8000     0.0100
    1.0000     3.8000     0.0100
    2.0000     3.8000     0.0100
    2.0000     3.8000     0.0100
    2.0000     3.8000     0.0100
    2.0000     3.8000     0.0100
    2.0000     3.8000     0.0100
    2.0000     3.8000     0.0100
    1.0000     3.8000     0.0100
    1.0000     3.8000     0.0100
    1.0000     3.8000     0.0100
    1.0000     3.8000     0.0100
    2.0000     3.8000     0.0100
    2.0000     3.8000     0.0100
    1.0000     3.8000     0.0100
    2.0000     3.8000     0.0100
    1.0000     3.8000     0.0200
    1.0000     3.8000     0.0200
    1.0000     3.8000     0.0200
    1.0000     3.8000     0.0200
    2.0000     3.8000     0.0200
    1.0000     3.8000     0.0200
    2.0000     3.8000     0.0200
    1.0000     3.8000     0.0200
    2.0000     3.8000     0.0200
    1.0000     3.8000     0.0200
    2.0000     3.8000     0.0200
    1.0000     3.9000     0.0100
    1.0000     3.9000     0.0100
    1.0000     3.9000     0.0100
    2.0000     3.9000     0.0100
